Date(UTC),Julian Date,MET,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Apr 13 2012,2456030.999988430,356011201,84.72,4.86E-08,1.34E-08
Apr 20 2012,2456037.999988430,356616001,75.77,5.37E-08,1.46E-08
Apr 27 2012,2456044.999988430,357220801,73.21,5.22E-08,1.43E-08
May 04 2012,2456051.999988430,357825601,67.12,4.4E-08,1.29E-08
May 11 2012,2456058.999988430,358430401,107.98,5.59E-08,1.49E-08
May 18 2012,2456065.999988430,359035201,45.33,4.34E-08,1.46E-08
May 25 2012,2456072.999988430,359640001,109.83,6.23E-08,1.54E-08
Jun 01 2012,2456079.999988430,360244801,78.26,6.53E-08,1.72E-08
Jun 08 2012,2456086.999988430,360849601,100.55,6E-08,1.52E-08
Jun 15 2012,2456093.999988430,361454401,28.41,1.71E-08,8.75E-09
Jun 22 2012,2456100.999988430,362059201,59.27,3.83E-08,1.21E-08
Jun 29 2012,2456107.999988430,362664001,121.1,5.32E-08,1.41E-08
Jul 06 2012,2456114.999976850,363268801,46.88,5.28E-08,1.84E-08
Jul 13 2012,2456121.999976850,363873601,68.48,5.4E-08,1.61E-08
Jul 20 2012,2456128.999976850,364478401,99.45,5.35E-08,1.48E-08
Jul 27 2012,2456135.999976850,365083201,111.62,6.51E-08,1.66E-08
Aug 03 2012,2456142.999976850,365688001,100.65,5.07E-08,1.35E-08
Aug 10 2012,2456149.999976850,366292801,114.19,6.59E-08,1.52E-08
Aug 17 2012,2456156.999976850,366897601,67.71,4.78E-08,1.39E-08
Aug 24 2012,2456163.999976850,367502401,76.17,6.5E-08,1.76E-08
Aug 31 2012,2456170.999976850,368107201,109.08,7.3E-08,1.69E-08
Sep 07 2012,2456177.999976850,368712001,69.88,5.23E-08,1.5E-08
Sep 14 2012,2456184.999976850,369316801,129.12,7.68E-08,1.74E-08
Sep 21 2012,2456191.999976850,369921601,163.29,1.01E-07,1.98E-08
Sep 28 2012,2456198.999976850,370526401,26.97,9.85E-08,4.71E-08
Oct 05 2012,2456205.999976850,371131201,122.69,7.47E-08,1.73E-08
Oct 12 2012,2456212.999976850,371736001,46.42,5.66E-08,1.66E-08
Oct 19 2012,2456219.999976850,372340801,69.49,5.41E-08,1.5E-08
Oct 26 2012,2456226.999976850,372945601,84.69,6.15E-08,1.55E-08
Nov 02 2012,2456233.999976850,373550401,16.96,2.33E-08,1.1E-08
Nov 09 2012,2456240.999976850,374155201,58.1,4.86E-08,1.48E-08
Nov 16 2012,2456247.999976850,374760001,57.08,5.08E-08,1.48E-08
Nov 23 2012,2456254.999976850,375364801,45.18,4.14E-08,1.35E-08
Nov 30 2012,2456261.999976850,375969601,34.66,3.6E-08,1.29E-08
Dec 07 2012,2456268.999976850,376574401,77.3,7.09E-08,1.66E-08
Dec 14 2012,2456275.999976850,377179201,78.77,5.32E-08,1.46E-08
Dec 21 2012,2456282.999976850,377784001,82.75,4.56E-08,1.41E-08
Dec 28 2012,2456289.999976850,378388801,76.6,5.14E-08,1.44E-08
Jan 04 2013,2456296.999976850,378993601,96.47,5.78E-08,1.42E-08
Jan 11 2013,2456303.999976850,379598401,28.08,2.57E-08,9.9E-09
